Name;URL;Author;Price;Number of Ratings;Average Ratings
Atomic Habits: The life-changing million copy bestseller;https://www.amazon.in/Atomic-Habits-James-Clear/dp/1847941834?_encoding=UTF8&psc=1;James Clear;₹ 549.00;6,086;4.6 out of 5 stars
The Psychology of Money;https://www.amazon.in/Psychology-Money-Morgan-Housel/dp/9390166268?_encoding=UTF8&psc=1;Morgan Housel;₹ 326.00;790;4.7 out of 5 stars
Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write And Practice Capital Letters, Small Letters, Patterns and Numbers 1 to 10);https://www.amazon.in/Writing-Fun-Set-Books-Practice/dp/9387779777?_encoding=UTF8&psc=1;Not Available;₹ 199.00;810;4.4 out of 5 stars
Indian Economy for Civil Services, Universities and Other Examinations | 12th Revised Edition;https://www.amazon.in/Economy-Services-Universities-Examinations-Revised/dp/B08BJ4KL27?_encoding=UTF8&psc=1;Ramesh Singh;₹ 386.00;222;4.2 out of 5 stars
Amazon Brand - Solimo Board Books for Kids (Set of 10);https://www.amazon.in/Amazon-Brand-Solimo-Board-Books/dp/B07BF3T95C?_encoding=UTF8&psc=1&smid=AT95IG9ONZD7S;Not Available;₹ 409.00;1,664;4.5 out of 5 stars
The Complete Novels of Sherlock Holmes;https://www.amazon.in/Complete-Novels-Sherlock-Holmes/dp/8175994312?_encoding=UTF8&psc=1;Arthur Conan Doyle;₹ 139.00;4,849;4.5 out of 5 stars
General Knowledge 2021;https://www.amazon.in/General-Knowledge-2021-Manohar-Pandey/dp/9324195395?_encoding=UTF8&psc=1;Manohar Pandey;₹ 30.00;865;4.2 out of 5 stars
Indian Art and Culture for Civil Services and other Competitive Examinations;https://www.amazon.in/Indian-Culture-Services-Competitive-Examinations/dp/9353168198?_encoding=UTF8&psc=1;Nitin Singhania;₹ 477.00;940;4.6 out of 5 stars
505 Activities for Kids;https://www.amazon.in/505-Activities-Kids-Dreamland-Publications/dp/935089968X?_encoding=UTF8&psc=1;Not Available;₹ 175.00;1,453;4.5 out of 5 stars
The Theory of Everything;https://www.amazon.in/Theory-Everything-Stephen-Hawking/dp/8179925919?_encoding=UTF8&psc=1;Stephen Hawking;₹ 144.00;2,874;4.6 out of 5 stars
My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing);https://www.amazon.in/First-Book-Patterns-Pencil-Control/dp/9387779319?_encoding=UTF8&psc=1;Not Available;₹ 139.00;2,119;4.5 out of 5 stars
The 5 AM Club: Own Your Morning, Elevate Your Life;https://www.amazon.in/AM-Club-Your-Morning-Elevate/dp/9387944891?_encoding=UTF8&psc=1;Robin Sharma;₹ 214.00;5,859;4.4 out of 5 stars
The Official Cambridge Guide To Ielts Student's Book With Answers With Dvd Rom;https://www.amazon.in/Official-Cambridge-Guide-Students-Answers/dp/110744277X?_encoding=UTF8&psc=1;Not Available;₹ 449.00;1,378;4.3 out of 5 stars
The Girl in Room 105;https://www.amazon.in/Girl-Room-105-Chetan-Bhagat/dp/1542040469?_encoding=UTF8&psc=1;Chetan Bhagat;₹ 180.00;6,980;4.3 out of 5 stars
My Activity- ABC Colouring Book;https://www.amazon.in/My-Activity-ABC-Colouring-Book/dp/9350898853?_encoding=UTF8&psc=1;Not Available;₹ 80.00;349;4.5 out of 5 stars
Lines and Curves (Pattern Writing) - Part 1;https://www.amazon.in/Lines-Curves-Pattern-Writing-Part/dp/1730152287?_encoding=UTF8&psc=1;Not Available;₹ 76.00;1,138;4.4 out of 5 stars
